nucleic_acid,library_type,species,strain
dna,paired,A.alternata,1166
dna,paired,A.alternata_ssp_tenuissima,635
dna,paired,A.alternata_ssp._tenuissima,648
dna,paired,A.alternata_ssp._gaisen,650
dna,paired,A.alternata_ssp._arborescens,675
dna,paired,A.alternata_ssp._tenuissima,743
dna,paired,A.alternata_ssp._tenuissima,1082
dna,paired,A.alternata_ssp._tenuissima,1164
dna,paired,A.alternata_ssp._tenuissima,1177
dna,paired,A.alternata_ssp._tenuissima,24350
dna,paired,A.alternata_ssp._arborescens,97.0013
dna,paired,A.alternata_ssp._arborescens,97.0016
rna,paired,A.alternata_ssp._gaisen,650
rna,paired,A.alternata_ssp._tenuissima,1166
